Distriktkod;Distriktnamn; Arbetarepartiet-Socialdemokraterna; Sverigedemokraterna; Moderaterna; Vänsterpartiet; Centerpartiet; Kristdemokraterna; Miljöpartiet de gröna
20-31-0104;Vikarbyn;31,63%;26,58%;14,18%;3,56%;8,61%;7,87%;2,97%
20-31-0105;Boda-Gärdsjö;25,87%;34,78%;15,65%;3,49%;5,89%;8,29%;3,02%
20-31-0106;Rättvik V;30,31%;29,54%;17,23%;3,23%;6,37%;6,45%;3,31%
20-31-0401;Ore;27,38%;44,28%;11,04%;5,04%;3,41%;5,99%;1,09%
Smedjebacken;Dummy;36,32%;30,52%;14,06%;5,33%;4,07%;4,11%;2,44%
20-61-0000;Uppsamlingsdistrikt;28,57%;29,10%;16,14%;9,26%;4,76%;5,03%;3,44%
20-61-0101;Morgårdshammar-Gubbo;40,98%;28,90%;11,03%;7,17%;2,82%;3,38%;3,70%
20-61-0103;Hagge-Harnäs m.fl.;30,75%;31,98%;17,55%;4,25%;5,19%;5,09%;2,08%
20-61-0105;Smedjebacken N;41,45%;27,37%;14,17%;4,87%;4,07%;3,19%;2,04%
20-61-0106;Smedjebacken S;39,10%;30,72%;12,67%;5,59%;3,01%;3,65%;1,72%
20-61-0108;Smedjebacken C;47,36%;26,50%;9,69%;5,89%;3,56%;2,45%;1,60%
20-61-0201;Söderbärke-Malingsbo;28,15%;33,60%;16,62%;3,87%;5,44%;5,30%;2,87%
20-61-0205;Sörbo-Vad;29,26%;38,61%;15,11%;3,60%;3,12%;5,76%;1,68%
Säter;Dummy;30,90%;26,67%;16,61%;4,55%;7,85%;6,53%;3,03%
20-82-0000;Uppsamlingsdistrikt;29,52%;28,31%;15,06%;7,83%;3,61%;3,61%;6,63%
20-82-0101;Säter 1;40,95%;20,43%;14,72%;6,96%;4,82%;5,00%;3,48%
20-82-0102;Säter 2;38,53%;24,07%;15,79%;4,47%;5,14%;5,23%;2,95%
20-82-0103;Säter 3;34,17%;26,58%;15,32%;4,00%;7,32%;6,03%;3,46%
20-82-0207;Stora Skedvi;21,20%;31,90%;17,87%;3,85%;11,68%;7,76%;2,09%
20-82-0304;Gustafs N;26,13%;26,72%;18,54%;3,50%;9,64%;7,88%;3,21%
20-82-0406;Gustafs S;27,98%;28,45%;17,24%;4,72%;7,20%;7,20%;2,48%
Vansbro;Dummy;28,68%;28,29%;14,08%;4,81%;8,20%;10,66%;1,87%
20-21-0000;Uppsamlingsdistrikt;25,88%;37,65%;12,94%;2,35%;5,29%;8,24%;3,53%
20-21-0101;Vansbro;32,74%;27,72%;14,75%;5,88%;6,92%;7,77%;1,47%
20-21-0103;Järna;25,34%;26,15%;12,84%;3,80%;10,60%;15,29%;2,31%
20-21-0301;Nås;31,01%;31,01%;13,21%;5,14%;5,32%;8,44%;1,83%
20-21-0401;Äppelbo;24,25%;30,05%;16,52%;4,75%;9,31%;9,84%;1,41%
Älvdalen;Dummy;28,67%;35,90%;10,60%;3,51%;6,59%;8,02%;2,06%
20-39-0000;Uppsamlingsdistrikt;27,33%;40,99%;7,56%;4,07%;5,52%;6,40%;3,78%
20-39-0206;Kyrkbyn;30,79%;29,65%;11,79%;4,34%;7,78%;7,94%;2,87%
20-39-0209;Rot;28,01%;37,91%;7,50%;3,82%;7,64%;9,05%;0,71%
20-39-0210;Väster-Myckeläng;28,90%;39,20%;7,81%;2,82%;6,15%;9,30%;1,83%
20-39-0211;Åsen;27,16%;38,52%;10,62%;2,22%;7,65%;8,40%;0,25%
20-39-0401;Särna;24,75%;44,02%;10,47%;2,49%;4,32%;8,64%;1,33%
20-39-0501;Idre;30,25%;31,20%;15,40%;3,68%;5,72%;6,13%;3,00%
Gotlands län;Dummy;34,64%;15,69%;16,81%;6,37%;11,72%;3,97%;6,47%
Gotland;Dummy;34,64%;15,69%;16,81%;6,37%;11,72%;3,97%;6,47%
09-80-0000;Uppsamlingsdistrikt;27,61%;15,41%;18,17%;10,97%;8,36%;3,07%;10,58%
09-80-0101;Visby Innerstaden;31,51%;6,87%;17,17%;9,95%;9,60%;3,35%;15,14%
09-80-0102;Visby Norr;38,86%;15,49%;10,37%;12,16%;5,36%;3,22%;9,30%
09-80-0103;Visby Öster;33,88%;10,00%;20,20%;7,65%;8,88%;3,37%;10,71%
09-80-0104;Visby Skarphäll/Östra Vi;43,50%;11,19%;18,75%;5,04%;8,04%;2,76%;6,23%
09-80-0105;Visby Länna;36,67%;11,96%;15,92%;9,22%;8,65%;2,52%;10,45%
09-80-0106;Visby Visborgsst/Halsjärnet;36,54%;12,24%;17,74%;7,78%;11,28%;3,58%;6,47%
09-80-0107;Visby A7/Östra Vi;39,75%;10,79%;19,81%;5,52%;9,97%;3,24%;6,10%
09-80-0108;Visby Djuplunda/Södervärn;41,93%;13,14%;18,55%;6,07%;8,07%;2,66%;6,49%
09-80-0109;Visby Furulund;40,98%;18,21%;14,75%;8,38%;5,65%;2,64%;5,01%
09-80-0110;Visby Bingeby;43,43%;16,30%;10,64%;10,64%;6,14%;3,16%;4,70%
09-80-0111;Visby Pilhagen/Gråbo;48,03%;12,99%;15,65%;5,71%;7,38%;3,05%;4,13%
09-80-0112;Visby Yttre Furulund;45,94%;18,97%;8,87%;11,33%;6,40%;1,97%;1,97%
09-80-0113;Visby Terra Nova;43,24%;14,04%;20,12%;4,54%;7,36%;3,42%;4,02%
09-80-0114;Visby Galgberget/Snäck;31,21%;12,76%;21,51%;6,38%;10,71%;3,06%;8,93%
09-80-0115;Visby Söder;32,42%;10,06%;21,72%;7,63%;9,96%;3,50%;8,47%
09-80-0201;Slite Othem/Hellvi;35,63%;27,86%;15,10%;4,99%;5,13%;3,23%;5,28%
09-80-0202;Slite Othem/Boge;38,54%;22,25%;14,17%;5,56%;9,01%;3,44%;3,97%
09-80-0401;Fårö;34,28%;18,56%;14,69%;3,09%;16,49%;2,58%;4,64%
09-80-0501;Fårösund;33,83%;18,10%;14,23%;7,37%;9,24%;3,75%;7,62%
09-80-1001;Lärbro;33,23%;27,02%;13,46%;4,52%;11,04%;4,94%;3,68%
09-80-1401;Tingstäde;30,76%;16,96%;15,99%;5,03%;15,02%;4,63%;7,22%
09-80-1801;Väskinde;34,21%;16,31%;19,09%;4,23%;13,67%;2,91%;5,28%
09-80-2401;Vallstena;29,18%;18,99%;18,03%;4,08%;15,02%;5,15%;5,90%
09-80-2901;Dalhem;26,00%;20,09%;18,56%;4,02%;14,89%;5,44%;6,50%
09-80-3101;Endre;31,38%;18,34%;19,91%;4,72%;12,37%;4,27%;6,07%
09-80-3501;Roma;34,58%;21,01%;14,08%;6,63%;11,80%;4,97%;2,90%
09-80-4001;Vänge;27,88%;19,77%;16,98%;5,45%;17,74%;4,94%;3,68%
09-80-4401;Kräklingbo;32,31%;10,92%;10,04%;5,97%;20,67%;5,09%;10,48%
09-80-4801;Västerhejde;34,37%;12,43%;22,41%;4,48%;9,38%;4,36%;7,95%
09-80-5301;Stenkumla;32,57%;17,76%;16,89%;2,85%;13,49%;6,91%;5,70%
09-80-5501;Eskelhem;29,98%;17,18%;19,45%;5,27%;12,80%;6,24%;5,11%
09-80-5701;Sanda;28,40%;17,26%;16,47%;5,92%;16,57%;4,34%;6,11%
09-80-6101;Klinte;36,64%;17,85%;12,94%;9,07%;9,63%;4,34%;5,10%
09-80-6301;Eksta;26,41%;17,21%;18,40%;5,95%;17,21%;6,60%;4,76%
09-80-6701;Garde;27,81%;16,56%;18,23%;5,21%;19,79%;4,38%;5,31%
09-80-7301;Stånga;28,01%;14,24%;16,35%;4,02%;22,75%;5,26%;4,49%
09-80-7601;Hemse/Alva;39,08%;17,73%;10,98%;5,91%;13,03%;4,70%;3,62%
09-80-7602;Hemse/Rone;31,15%;19,55%;16,14%;6,43%;14,75%;5,17%;3,66%
09-80-8401;Havdhem;29,21%;14,23%;15,10%;4,33%;21,66%;3,84%;7,05%
09-80-9101;Burgsvik;30,40%;13,80%;13,51%;4,85%;20,41%;4,85%;8,81%
Gävleborgs län;Dummy;34,73%;24,09%;16,24%;5,91%;6,25%;5,10%;3,45%
Bollnäs;Dummy;36,01%;24,62%;13,92%;5,14%;7,46%;6,18%;3,02%
21-83-0000;Uppsamlingsdistrikt;27,97%;27,97%;17,36%;8,04%;6,43%;3,86%;3,22%
21-83-0301;Bollnäs Centrum;40,93%;22,88%;13,70%;5,56%;6,61%;4,51%;2,26%
21-83-0302;Bollnäs-Sävsberg;33,49%;23,70%;16,56%;5,67%;6,13%;5,95%;4,48%
21-83-0303;Bollnäs-Granberg;36,02%;26,81%;13,23%;3,80%;6,67%;4,60%;3,80%
21-83-0304;Bollnäs-Gärdet;46,40%;20,37%;9,38%;8,41%;4,61%;4,04%;3,56%
21-83-0306;Bollnäs-Hamre;36,90%;19,68%;15,40%;7,91%;5,45%;7,81%;2,57%
21-83-0307;Bollnäs-Björktjära;38,31%;22,17%;15,50%;3,86%;7,31%;6,18%;2,73%
21-83-0308;Bollnäs-Lottefors;30,38%;30,26%;15,19%;4,19%;7,54%;7,42%;2,87%
21-83-0309;Bollnäs-Ren;39,61%;18,14%;15,15%;4,59%;9,07%;6,66%;3,10%
21-83-0310;Bollnäs-Söräng;29,94%;24,77%;17,17%;3,65%;11,25%;6,53%;3,50%
21-83-0311;Bollnäs-Hå;34,18%;26,13%;13,42%;2,54%;9,75%;7,77%;2,54%
21-83-0312;Bollnäs-Kilberg;43,14%;20,88%;14,41%;5,00%;6,30%;5,00%;2,59%
21-83-0401;Rengsjö;29,73%;30,32%;13,87%;4,47%;8,11%;7,05%;2,12%
21-83-0501;Hanebo-Segersta;33,75%;25,73%;14,16%;3,74%;9,71%;6,41%;3,21%
21-83-0602;Hanebo Centrum;37,09%;25,99%;11,81%;5,73%;5,81%;7,14%;2,82%
21-83-0902;Arbrå Centrum;33,20%;27,41%;13,50%;4,96%;6,89%;6,61%;3,72%
21-83-0903;Arbrå-Undersvik;30,21%;25,12%;14,36%;4,29%;12,46%;6,48%;3,89%
21-83-0904;Arbrå-Flästa;31,45%;32,09%;10,45%;5,97%;6,50%;7,68%;1,71%
Gävle;Dummy;33,35%;22,57%;19,16%;6,48%;5,01%;4,28%;4,01%
21-80-0000;Uppsamlingsdistrikt;30,49%;18,29%;18,89%;9,77%;5,57%;4,56%;5,74%
21-80-0101;Väster N;30,85%;16,99%;22,60%;4,98%;7,25%;4,98%;5,40%
21-80-0102;Villastaden;24,65%;14,98%;31,23%;4,93%;7,65%;4,74%;5,12%
21-80-0103;Väster S;32,43%;21,25%;21,05%;6,55%;5,94%;3,42%;4,13%
21-80-0105;Norr;28,51%;20,86%;22,60%;8,23%;6,49%;4,29%;3,82%
21-80-0106;Öster-Alderholmen;39,74%;20,53%;6,78%;20,15%;2,07%;2,07%;3,58%
21-80-0107;Söder V;32,77%;23,76%;17,30%;7,90%;5,16%;3,66%;3,79%
21-80-0108;Stigslund;35,02%;20,71%;21,64%;3,93%;5,13%;4,53%;3,86%
21-80-0109;Strömsbro;32,09%;17,38%;27,46%;3,14%;5,63%;4,63%;4,33%
21-80-0110;Norrlandet-Utvalnäs;24,86%;18,22%;33,78%;2,83%;5,60%;4,92%;3,69%
21-80-0111;Vallbacken;32,97%;16,52%;20,73%;7,68%;7,14%;3,13%;4,89%
21-80-0113;Nordost;41,63%;18,06%;11,12%;16,15%;3,35%;2,27%;3,23%
21-80-0114;Gävle Strand;29,76%;19,66%;25,17%;5,98%;6,22%;4,04%;3,26%
21-80-0201;Söder Ö;34,08%;18,27%;19,11%;6,25%;5,20%;5,20%;3,72%
21-80-0202;Brynäs V;33,55%;19,70%;13,31%;15,12%;3,41%;3,73%;4,79%
21-80-0203;Brynäs C;37,50%;22,73%;13,71%;9,55%;4,47%;3,33%;4,09%
21-80-0204;Brynäs Ö;36,85%;24,91%;11,94%;11,57%;3,54%;2,24%;3,82%
21-80-0206;Brynäs S;34,88%;23,42%;12,21%;12,71%;3,82%;3,49%;4,32%
21-80-0208;Hemsta;37,02%;22,64%;15,54%;7,69%;4,71%;3,14%;4,79%
21-80-0213;Furuvik-Ytterharnäs;26,61%;27,27%;24,39%;3,33%;5,54%;4,55%;4,32%
21-80-0214;Hemlingby;28,90%;20,00%;26,71%;2,99%;6,11%;5,25%;4,65%
21-80-0301;Bergby-Axmar;31,41%;32,53%;15,83%;4,65%;4,48%;4,82%;2,32%
21-80-0302;Norrsundet-Hamrångefjärden;37,11%;33,40%;11,60%;6,77%;2,50%;3,71%;2,88%
21-80-0401;Hedesunda N;22,46%;39,65%;15,09%;3,98%;7,13%;7,25%;1,29%
21-80-0402;Hedesunda S;25,65%;32,57%;16,65%;4,03%;7,45%;7,34%;2,79%
21-80-0501;Hille;33,05%;23,18%;22,34%;3,42%;4,58%;4,26%;4,07%
21-80-0502;Åbyggeby;26,91%;26,06%;23,16%;3,33%;5,59%;5,81%;3,90%
21-80-0503;Björke-Trödje;25,39%;27,77%;23,08%;3,34%;4,97%;7,28%;3,74%
21-80-0604;Valbo C;34,93%;29,85%;16,54%;5,00%;3,46%;3,46%;2,13%
21-80-0605;Valbo N;34,19%;28,69%;15,89%;3,69%;5,12%;4,97%;3,46%
21-80-0607;Valbo V;32,26%;28,22%;18,22%;3,22%;5,75%;5,75%;2,81%
21-80-0608;Forsbacka;35,73%;31,55%;13,92%;4,64%;3,56%;5,41%;2,47%
21-80-0609;Hagaström C;34,86%;15,07%;23,10%;2,89%;7,75%;4,30%;5,28%
21-80-0701;Södertull;31,56%;23,63%;19,62%;8,67%;4,09%;2,78%;4,66%
21-80-0702;Olsbacka;28,83%;16,29%;22,11%;7,21%;7,90%;3,65%;6,22%
21-80-0703;Sörby;37,28%;19,25%;16,88%;7,69%;3,59%;3,52%;5,53%
21-80-0704;Fridhem;33,61%;13,53%;23,89%;3,36%;7,99%;4,09%;5,81%
21-80-0705;Andersberg C;55,50%;14,48%;3,22%;13,81%;2,82%;2,41%;2,55%
21-80-0706;Andersberg N;35,64%;21,59%;15,36%;8,73%;2,71%;3,71%;6,22%
21-80-0707;Andersberg S-Sälgsjön-Hästbo;36,75%;25,92%;16,57%;5,91%;3,77%;4,92%;3,20%
21-80-0801;Sätra C;40,56%;21,40%;9,63%;10,84%;4,49%;3,08%;4,58%
21-80-0802;Sätra NO;43,71%;18,53%;12,06%;11,28%;2,71%;2,97%;3,58%
21-80-0804;Sätra Ö;38,23%;17,15%;12,22%;13,34%;4,93%;3,03%;4,37%
21-80-0805;Sätra V;34,30%;22,27%;16,92%;9,05%;3,86%;3,93%;4,88%
21-80-0806;Sätra NV;37,77%;18,07%;18,66%;6,61%;5,14%;4,11%;3,67%
21-80-0901;Bomhus V;33,82%;26,09%;15,82%;10,64%;3,64%;3,09%;2,82%
21-80-0902;Bomhus N;30,91%;29,41%;19,66%;5,85%;2,83%;3,90%;3,10%
21-80-0903;Bomhus Ö;33,56%;25,88%;21,85%;3,21%;2,91%;5,07%;3,21%
21-80-0904;Bomhus C;35,98%;22,97%;19,81%;4,31%;4,98%;4,78%;3,64%
21-80-0906;Bomhus SV;38,63%;25,24%;17,74%;4,19%;3,63%;4,52%;2,50%
21-80-0907;Bomhus SO;39,86%;27,92%;13,61%;5,62%;3,07%;3,42%;2,55%
21-80-1002;Norrtull-Lexe;32,08%;16,67%;22,62%;5,89%;7,28%;3,70%;6,22%
21-80-1003;Valbo Ö-Hagaström N;30,73%;24,41%;24,11%;2,66%;5,56%;5,14%;3,72%
Hofors;Dummy;36,43%;27,82%;13,55%;8,31%;3,93%;4,41%;2,15%
21-04-0000;Uppsamlingsdistrikt;32,41%;28,11%;13,82%;9,98%;3,84%;5,84%;2,46%
21-04-0102;Hofors Norra;38,93%;24,60%;14,50%;8,52%;2,99%;3,69%;2,55%
21-04-0103;Hofors Södra;37,05%;31,79%;11,25%;7,77%;2,14%;4,64%;2,23%
21-04-0104;Hofors Centrum;44,33%;25,56%;9,86%;10,92%;1,80%;2,65%;1,59%
21-04-0105;Hofors Västra;41,50%;28,45%;9,97%;10,56%;1,61%;2,79%;1,47%
21-04-0201;Torsåker;28,40%;28,33%;18,48%;5,10%;8,49%;6,05%;2,31%
Hudiksvall;Dummy;36,36%;21,16%;14,57%;6,31%;8,35%;5,29%;4,27%
21-84-0000;Uppsamlingsdistrikt;30,92%;19,08%;14,31%;10,69%;8,21%;4,58%;6,68%
21-84-0101;Helenedal mfl;37,98%;14,56%;17,97%;5,39%;8,43%;5,76%;5,64%
21-84-0103;Östertull mfl;41,60%;13,45%;17,79%;6,68%;7,60%;4,09%;5,01%
21-84-0104;Kristineberg mfl;42,91%;19,12%;14,27%;6,22%;7,78%;4,39%;2,38%
21-84-0105;Västertull mfl;41,05%;16,91%;14,78%;7,06%;6,57%;4,52%;4,68%
21-84-0106;Kyrkbacken mfl;37,67%;15,52%;16,97%;7,46%;6,74%;5,05%;5,78%
21-84-0107;Fridhem-Åvik;36,35%;17,88%;17,21%;5,19%;7,60%;6,06%;5,19%
21-84-0201;Idenor;46,77%;14,44%;11,10%;10,88%;5,28%;4,42%;4,63%
21-84-0302;Björkberg mfl;32,59%;18,21%;21,19%;6,43%;8,11%;5,20%;4,51%
21-84-0303;Håsta mfl;37,11%;18,82%;19,57%;4,12%;8,10%;5,25%;3,15%
21-84-0401;Rogsta;31,38%;27,91%;14,44%;3,37%;9,91%;6,83%;2,89%
21-84-0501;Njutånger;32,40%;27,02%;13,94%;5,50%;7,46%;5,75%;4,16%
21-84-0503;Iggesund  Norr;42,02%;25,40%;11,03%;7,85%;4,34%;4,43%;2,17%
21-84-0504;Iggesund Söder;44,65%;24,97%;8,52%;9,09%;3,45%;4,14%;2,65%
21-84-0701;Enånger;37,40%;26,74%;12,19%;4,61%;10,55%;2,97%;2,87%
21-84-0803;Bobygden-Kalvstigen;30,72%;26,36%;10,24%;6,97%;11,44%;6,86%;3,27%
21-84-0804;Delsbo Östra;33,66%;21,15%;12,21%;7,35%;11,72%;3,87%;5,36%
21-84-0805;Delsbo Västra;29,70%;26,03%;9,52%;10,78%;9,06%;5,39%;6,31%
21-84-0901;Friggesund-Hålsjö mfl;29,77%;28,83%;11,02%;5,23%;11,25%;7,42%;3,67%
21-84-0902;Svågadalen;33,00%;28,71%;8,91%;4,29%;11,88%;5,61%;3,63%
21-84-1101;Näsviken mfl;30,15%;25,47%;13,83%;4,48%;11,64%;6,17%;3,88%
21-84-1102;Sörforsa mfl;37,39%;21,99%;12,77%;5,13%;8,49%;5,20%;5,66%
21-84-1201;Edsta-Sanna mfl;33,51%;19,46%;19,01%;4,90%;8,51%;6,64%;4,25%
Ljusdal;Dummy;32,06%;26,21%;15,98%;4,59%;7,95%;5,58%;3,51%
21-61-0000;Uppsamlingsdistrikt;29,86%;22,30%;17,63%;10,43%;6,12%;3,24%;6,47%
21-61-0101;Ljusdal CV;31,36%;25,07%;19,91%;3,97%;7,26%;4,49%;3,07%
21-61-0102;Tallåsen;27,30%;35,48%;15,03%;4,60%;7,16%;6,03%;2,35%
21-61-0104;Ljusdal CÖ;40,48%;21,06%;15,26%;5,30%;5,04%;5,55%;3,15%
21-61-0105;Ljusdal CS;34,18%;26,05%;18,46%;4,85%;5,38%;5,49%;2,11%
21-61-0106;Ljusdal CN;33,36%;22,66%;19,89%;4,37%;6,24%;5,08%;3,21%
21-61-0107;Ljusdal C;38,19%;22,03%;16,72%;4,41%;6,21%;4,97%;2,82%
21-61-0301;Los-Hamra;35,50%;35,75%;6,25%;4,75%;5,00%;6,00%;2,00%
21-61-0401;Färila;30,25%;30,98%;15,20%;3,89%;6,90%;6,68%;2,72%
21-61-0501;Korskrogen-Kårböle;28,40%;31,18%;14,53%;4,23%;9,64%;5,02%;4,23%
21-61-0601;Ramsjö-Hennan;32,29%;38,54%;11,46%;5,47%;3,39%;4,17%;1,04%
21-61-0701;Järvsö Ö;28,46%;20,05%;11,92%;5,01%;16,12%;6,91%;6,50%
21-61-0702;Järvsö V;31,53%;21,21%;14,58%;4,50%;11,30%;7,13%;5,00%
21-61-0703;Järvsö N;29,33%;22,92%;17,10%;3,92%;12,00%;4,75%;5,34%
Nordanstig;Dummy;31,61%;29,02%;13,08%;6,20%;7,10%;6,48%;2,91%
21-32-0000;Uppsamlingsdistrikt;19,40%;37,31%;14,93%;10,45%;6,72%;4,48%;4,48%
21-32-0201;Harmånger-Ilsbo;29,33%;34,23%;11,83%;4,23%;9,04%;7,10%;1,69%
21-32-0301;Jättendal-Stocka-Strömsbruk;33,81%;24,98%;13,20%;6,07%;8,39%;5,98%;3,84%
21-32-0401;Gnarp;30,64%;28,78%;12,83%;5,27%;6,23%;9,05%;3,49%
21-32-0501;Bergsjö;31,42%;27,70%;15,78%;6,73%;6,10%;4,84%;2,52%
21-32-0601;Hassela-Älgered;35,90%;28,32%;10,06%;9,19%;5,71%;5,22%;2,86%
Ockelbo;Dummy;33,16%;30,79%;12,26%;5,24%;7,26%;5,00%;3,42%
21-01-0000;Uppsamlingsdistrikt;30,19%;31,13%;15,09%;6,13%;5,19%;6,13%;3,30%
21-01-0201;Ockelbo Södra;38,30%;28,27%;11,73%;4,87%;6,35%;4,28%;2,88%
21-01-0203;Ockelbo Byar;28,84%;33,59%;10,18%;5,51%;9,95%;5,81%;3,44%
21-01-0205;Ockelbo Norra;32,40%;30,45%;15,33%;5,18%;5,29%;4,64%;4,21%
Ovanåker;Dummy;31,46%;24,23%;13,89%;3,61%;9,95%;11,50%;2,46%
21-21-0000;Uppsamlingsdistrikt;27,36%;20,75%;18,87%;8,49%;7,55%;5,66%;8,49%
21-21-0105;Ovanåker N;26,13%;23,28%;13,40%;2,72%;12,73%;15,98%;3,45%
21-21-0106;Edsbyn;39,79%;19,93%;11,17%;3,10%;9,79%;11,38%;2,07%
21-21-0201;Ovanåker V;32,52%;26,50%;13,02%;4,16%;7,01%;11,90%;1,78%
21-21-0301;Alfta S;30,37%;25,22%;15,45%;3,41%;9,97%;10,10%;1,87%
21-21-0303;Alfta N;29,00%;26,43%;16,06%;4,31%;10,43%;8,41%;2,71%
Sandviken;Dummy;37,06%;25,98%;15,58%;5,80%;4,79%;4,10%;2,57%
21-81-0000;Uppsamlingsdistrikt;35,88%;19,97%;13,26%;10,45%;5,15%;5,15%;4,06%
21-81-0101;Sandviken Norra;36,01%;22,02%;20,92%;3,80%;6,87%;3,13%;3,44%
21-81-0102;Jäderfors-Norrsätra;38,78%;27,85%;12,31%;8,86%;3,80%;3,57%;1,84%
21-81-0103;Murgården;50,17%;19,60%;7,75%;12,51%;1,22%;2,10%;2,66%
21-81-0104;Sandbacka;37,98%;23,12%;18,34%;4,13%;4,72%;4,39%;2,42%
21-81-0105;Barrsätra;40,75%;22,69%;16,10%;6,42%;3,77%;3,51%;3,34%
21-81-0106;Sandviken Centrum;38,88%;24,42%;14,16%;10,04%;3,07%;2,77%;2,47%
21-81-0109;Jernvallen Norra;42,16%;24,89%;15,22%;5,40%;4,26%;3,12%;2,36%
21-81-0110;Jernvallen Södra;36,51%;22,13%;17,66%;5,45%;4,20%;5,19%;2,36%
21-81-0113;Björksätra;49,24%;24,35%;6,28%;7,14%;3,90%;2,81%;2,38%
21-81-0115;Vallhov;40,43%;22,37%;17,12%;5,61%;4,68%;3,96%;2,16%
21-81-0202;Kungsgården-Åshammar;29,39%;35,30%;16,14%;3,94%;4,25%;5,36%;2,03%
21-81-0204;Säljan;35,03%;23,87%;20,26%;4,19%;4,65%;3,87%;2,32%
21-81-0205;Storvik Norra;33,22%;29,21%;14,47%;6,02%;4,80%;4,53%;4,01%
21-81-0206;Gästrike-Hammarby-Storvik Södra;30,62%;34,73%;13,95%;6,12%;4,96%;3,88%;2,71%
21-81-0301;Järbo;30,30%;34,22%;15,81%;4,31%;4,95%;4,60%;2,36%
21-81-0401;Årsunda;31,75%;28,88%;18,80%;3,42%;5,74%;5,31%;1,83%
21-81-0501;Österfärnebo;26,38%;27,92%;14,84%;4,24%;13,66%;6,71%;2,36%
21-81-0601;Stadsparken;50,08%;19,18%;10,81%;6,09%;3,35%;3,58%;2,74%
Söderhamn;Dummy;37,48%;24,92%;14,78%;5,11%;6,30%;4,87%;2,87%
21-82-0000;Uppsamlingsdistrikt;32,03%;27,30%;16,89%;4,73%;7,03%;4,05%;2,97%
21-82-0101;Söderhamn Centrum-Väster;40,65%;18,87%;17,71%;6,15%;5,32%;4,90%;2,24%
21-82-0102;Söderhamn Norrtull-Granskär;44,40%;21,32%;13,41%;6,23%;5,86%;3,74%;1,90%
21-82-0103;Söderhamn Norrberget-Hägnan m fl;46,20%;23,19%;10,65%;6,00%;3,85%;4,83%;1,70%
21-82-0105;Söderhamn Klossdammen-Stormyran m fl;41,81%;17,19%;19,91%;5,16%;4,07%;4,62%;3,62%
21-82-0106;Söderhamn Öster-Broberg-Färssjön;33,20%;16,75%;24,24%;4,43%;7,39%;4,93%;4,63%
21-82-0107;Stugsund;37,36%;23,22%;16,21%;4,48%;6,44%;4,71%;3,22%
21-82-0201;Sandarne;41,05%;29,94%;10,38%;4,96%;3,86%;4,50%;2,48%
21-82-0401;Ljusne;44,21%;30,08%;8,97%;6,59%;2,78%;2,38%;2,38%
21-82-0501;Söderala;31,13%;28,82%;15,18%;3,95%;9,35%;5,57%;3,34%
21-82-0502;Marma-Mo;31,26%;30,38%;13,35%;6,85%;6,23%;4,57%;3,69%
21-82-0503;Bergvik – Skog;32,59%;30,07%;9,73%;4,60%;9,21%;6,98%;2,75%
21-82-0901;Vågbro;34,84%;25,63%;18,49%;2,46%;5,48%;6,43%;2,86%
21-82-0902;Norrala-Trönö;31,56%;25,02%;15,04%;4,58%;11,12%;5,56%;2,94%
Göteborgs kommun;Dummy;27,65%;14,66%;18,48%;12,85%;5,86%;4,37%;7,92%
Göteborg;Dummy;27,65%;14,66%;18,48%;12,85%;5,86%;4,37%;7,92%
14-80-0000;Uppsamlingsdistrikt;23,71%;13,17%;20,73%;12,69%;7,29%;3,86%;9,82%
14-80-0101;Nordöstra Göteborg Bergum;23,99%;26,49%;17,66%;9,07%;6,44%;5,25%;6,21%
14-80-0102;Nordöstra Göteborg Olofstorp;27,67%;25,35%;17,76%;5,92%;6,69%;4,25%;6,82%
14-80-0103;Nordöstra Göteborg Björsared;27,21%;27,67%;19,07%;6,63%;5,23%;4,77%;3,84%
14-80-0104;Nordöstra Göteborg Gunnilse;27,82%;24,45%;19,56%;7,33%;7,57%;4,89%;3,49%
14-80-0105;Nordöstra Göteborg Linnarhult;29,34%;20,02%;15,83%;10,01%;6,87%;7,22%;5,01%
14-80-0106;Nordöstra Göteborg Angereds Centrum;36,31%;9,64%;10,58%;20,68%;5,99%;3,64%;4,23%
14-80-0107;Nordöstra Göteborg Storås;33,87%;10,87%;11,23%;18,36%;2,50%;4,46%;8,73%
14-80-0108;Nordöstra Göteborg Eriksbo Östra;32,35%;17,54%;5,24%;25,28%;0,46%;1,37%;5,47%
14-80-0109;Nordöstra Göteborg Hammarkullen C;39,85%;5,76%;8,02%;22,56%;3,01%;0,50%;9,02%
14-80-0110;Nordöstra Göteborg Hammarkullen Ö;33,27%;3,35%;2,46%;26,58%;2,46%;1,94%;14,96%
14-80-0111;Nordöstra Göteborg Sandeslätt;37,94%;7,48%;5,98%;20,56%;3,18%;4,67%;8,60%
14-80-0112;Nordöstra Göteborg Hammarkullen V;32,40%;9,31%;10,24%;20,86%;1,12%;3,35%;10,06%
14-80-0113;Nordöstra Göteborg Eriksbo Västra;34,72%;15,03%;9,15%;19,69%;3,80%;3,80%;3,80%
14-80-0114;Nordöstra Göteborg Bläsebo;37,95%;8,79%;5,70%;25,57%;3,09%;2,12%;3,26%
14-80-0115;Nordöstra Göteborg Hjällbo Norra;40,15%;4,12%;3,82%;22,65%;2,94%;1,76%;6,91%
